"Att1_1","Att1_2","Att1_3","Att2_1","Att2_2","Att2_3","Att3_1","Att3_2","Att3_3","Att3_4","Att4_1","Att4_2","Att4_3","Att4_4","Att5_1","Att5_2","Att5_3","Att5_4","Att5_5","Att5_6","Att6_1","Att6_2","Att6_3","Att6_4","Att7_1","Att7_2","Att8_1","Att8_2","Slope_2","Slope_3","Slope_4","Slope_5","Slope_6","Slope_7","Slope_8","Slope_9","Slope_10","Slope_11","Slope_12","Slope_13","Slope_14","Slope_15","Slope_16","Slope_17","Slope_18","Slope_19","Slope_20","None"
-0.4524715,-0.7735595,1.226031,-0.159173,0.00664545,0.15252755,-0.7383215,-0.259675,-0.238106,1.2361025,-0.05873595,0.3556405,0.2339115,-0.53081605,-0.141152,-0.03855615,-0.1772295,-0.0908515,-0.1747155,0.62250465,-0.1780485,-0.0962547,0.0113373,0.2629659,0.2611485,-0.2611485,0.5148245,-0.5148245,-0.1552685,-0.1499785,-0.150147,-0.1547095,-0.1656745,-0.1856695,-0.194818,-0.232052,-0.275253,-0.310099,-0.339492,-0.3613065,-0.396025,-0.4389015,-0.4735605,-0.526977,-0.592146,-0.6266955,-0.6324985,-3.45537
-0.449686,-0.7799715,1.2296575,-0.1541355,0.0086712,0.1454643,-0.7508275,-0.255859,-0.2510975,1.257784,-0.064141,0.349059,0.241609,-0.526527,-0.121561,-0.04033495,-0.1877945,-0.10061745,-0.1720185,0.6223264,-0.1841715,-0.103195,0.01632355,0.27104295,0.2635605,-0.2635605,0.504171,-0.504171,-0.1548475,-0.1503795,-0.150209,-0.158039,-0.1673215,-0.1833985,-0.196501,-0.2300385,-0.2759925,-0.3080645,-0.3390955,-0.3595275,-0.39276,-0.443975,-0.4694795,-0.524564,-0.5997565,-0.6160075,-0.627865,-3.460175
-0.448538,-0.7850435,1.2335815,-0.154803,0.0008664,0.1539366,-0.74269,-0.250015,-0.252474,1.245179,-0.07138655,0.349848,0.2446345,-0.52309595,-0.143638,-0.0384433,-0.1748675,-0.09053685,-0.175751,0.62323665,-0.187903,-0.11300515,0.027339,0.27356915,0.256454,-0.256454,0.5020905,-0.5020905,-0.1546835,-0.1482445,-0.1479565,-0.158164,-0.1691125,-0.1824615,-0.198134,-0.2321005,-0.272765,-0.308344,-0.3336925,-0.358456,-0.3946975,-0.4424875,-0.4752115,-0.520593,-0.595418,-0.621313,-0.626098,-3.44615
-0.4451645,-0.7818175,1.226982,-0.162845,0.0167954,0.1460496,-0.7423145,-0.2497315,-0.256443,1.248489,-0.0615853,0.3626615,0.2310085,-0.5320847,-0.1460755,-0.0448054,-0.1758235,-0.0845573,-0.168875,0.6201367,-0.1825315,-0.1028543,0.010243,0.2751428,0.2511,-0.2511,0.525268,-0.525268,-0.153505,-0.149866,-0.147075,-0.1573225,-0.1660115,-0.183974,-0.1972295,-0.232149,-0.270542,-0.31149,-0.335307,-0.3604475,-0.3997085,-0.4428155,-0.467588,-0.527657,-0.5958225,-0.6200245,-0.6273775,-3.45384
-0.451611,-0.7732265,1.2248375,-0.1492765,0.0041797,0.1450968,-0.744395,-0.2657315,-0.245598,1.2557245,-0.06085815,0.3536775,0.2468135,-0.53963285,-0.1411225,-0.0378524,-0.1789565,-0.1027005,-0.1729165,0.6335484,-0.1887245,-0.1059057,0.0158636,0.2787666,0.250186,-0.250186,0.5236815,-0.5236815,-0.1542455,-0.150581,-0.1462665,-0.1579825,-0.1671555,-0.184797,-0.1973355,-0.232924,-0.2733425,-0.307845,-0.3420665,-0.3573635,-0.3950375,-0.4452885,-0.469096,-0.528468,-0.598725,-0.6226105,-0.6203075,-3.45236
-0.444664,-0.7844585,1.2291225,-0.169824,0.0137821,0.1560419,-0.744974,-0.2654295,-0.238218,1.2486215,-0.0710297,0.354019,0.2372065,-0.5201958,-0.12101545,-0.06368125,-0.1807875,-0.0846264,-0.1763045,0.6264151,-0.1813205,-0.10235075,0.01374745,0.2699238,0.253456,-0.253456,0.495658,-0.495658,-0.153452,-0.149788,-0.148698,-0.157845,-0.1675415,-0.1858335,-0.1976535,-0.234706,-0.2757415,-0.3085475,-0.33978,-0.358015,-0.3994705,-0.4413545,-0.473545,-0.53065,-0.5937445,-0.621745,-0.6308985,-3.463905
-0.446719,-0.77552,1.222239,-0.1538615,0.0080964,0.1457651,-0.7528035,-0.25049,-0.249097,1.2523905,-0.0675481,0.3474465,0.2338605,-0.5137589,-0.1488015,-0.0285958,-0.1809495,-0.08998355,-0.1823045,0.63063485,-0.187618,-0.0962961,0.00678315,0.27713095,0.263765,-0.263765,0.4970135,-0.4970135,-0.152795,-0.1485005,-0.1464875,-0.1574205,-0.1665475,-0.185338,-0.1944335,-0.2319205,-0.273933,-0.311464,-0.3404825,-0.3610535,-0.39686,-0.440969,-0.4696965,-0.528737,-0.5953385,-0.616952,-0.6227375,-3.44302
-0.4387755,-0.778942,1.2177175,-0.1620745,0.018236,0.1438385,-0.7489215,-0.2533615,-0.2506045,1.2528875,-0.0737809,0.3579125,0.2394645,-0.5235961,-0.1367945,-0.04414155,-0.185374,-0.09863835,-0.159483,0.6244314,-0.186895,-0.09641665,0.01682725,0.2664844,0.2512875,-0.2512875,0.518954,-0.518954,-0.1547375,-0.1484725,-0.147763,-0.1548745,-0.1676505,-0.184749,-0.1992615,-0.2318265,-0.271231,-0.308975,-0.338112,-0.360445,-0.396793,-0.4441055,-0.472722,-0.526381,-0.597501,-0.62761,-0.622091,-3.45696
-0.4511255,-0.7787135,1.229839,-0.1652195,0.0104378,0.1547817,-0.742545,-0.2678925,-0.247164,1.2576015,-0.07144145,0.3556005,0.2324615,-0.51662055,-0.1316414,-0.05690785,-0.175521,-0.09472205,-0.1596135,0.6184058,-0.193145,-0.1069341,0.0135647,0.2865144,0.254151,-0.254151,0.5140605,-0.5140605,-0.152761,-0.15045,-0.146256,-0.1557525,-0.170784,-0.1866295,-0.1956505,-0.232371,-0.27134,-0.313107,-0.338007,-0.361954,-0.3980075,-0.4400215,-0.472353,-0.5312295,-0.5955845,-0.6191635,-0.6269585,-3.44768
-0.444126,-0.7809215,1.2250475,-0.1504715,0.00229025,0.14818125,-0.7515285,-0.254639,-0.2370845,1.243252,-0.0674648,0.3560595,0.231953,-0.5205477,-0.1260553,-0.0343683,-0.1848385,-0.108295,-0.1653385,0.6188956,-0.1963135,-0.107737,0.02112185,0.28292865,0.254858,-0.254858,0.502071,-0.502071,-0.1543775,-0.149018,-0.147483,-0.157876,-0.166274,-0.183405,-0.197024,-0.2322245,-0.274064,-0.309838,-0.3408195,-0.358176,-0.3972075,-0.4452195,-0.4693365,-0.530381,-0.595973,-0.6185705,-0.6235615,-3.45877
-0.4542695,-0.779869,1.2341385,-0.1566005,0.00681635,0.14978415,-0.7517155,-0.2576315,-0.2344485,1.2437955,-0.060896,0.355102,0.2391615,-0.5333675,-0.1403555,-0.03813205,-0.172942,-0.09178265,-0.1731785,0.6163907,-0.18253,-0.10262405,0.0139514,0.27120265,0.2517735,-0.2517735,0.5070975,-0.5070975,-0.154039,-0.1478865,-0.1477995,-0.1572105,-0.1678575,-0.1833905,-0.19808,-0.2331905,-0.2751225,-0.3094715,-0.3378145,-0.3587505,-0.39911,-0.43701,-0.473937,-0.5251865,-0.594617,-0.6213275,-0.6262155,-3.45779
-0.4482655,-0.779582,1.2278475,-0.1593465,0.0106742,0.1486723,-0.750045,-0.2594205,-0.2475575,1.257023,-0.06402935,0.350582,0.231927,-0.51847965,-0.13298725,-0.0352399,-0.1889145,-0.0953155,-0.1739175,0.62637465,-0.1784905,-0.112041,0.0177224,0.2728091,0.266683,-0.266683,0.516619,-0.516619,-0.1526015,-0.150521,-0.149827,-0.156883,-0.168338,-0.1852445,-0.1960495,-0.2348345,-0.275376,-0.3106935,-0.339691,-0.3580245,-0.3994985,-0.44443,-0.4669415,-0.528602,-0.595933,-0.6172005,-0.6268505,-3.455375
-0.4409095,-0.792035,1.2329445,-0.157408,0.0076311,0.1497769,-0.7271405,-0.2570155,-0.2530655,1.2372215,-0.0600983,0.345349,0.240647,-0.5258977,-0.12791475,-0.03626045,-0.189686,-0.0969439,-0.175529,0.6263341,-0.183067,-0.1070635,0.0118495,0.278281,0.264336,-0.264336,0.5051,-0.5051,-0.156224,-0.149142,-0.1489815,-0.156319,-0.166375,-0.18484,-0.195064,-0.2307665,-0.2776235,-0.3076835,-0.3377745,-0.3579155,-0.3973905,-0.444402,-0.4691965,-0.5247625,-0.5897515,-0.6184925,-0.6252985,-3.44244
-0.4492665,-0.778916,1.2281825,-0.158815,0.0084173,0.1503977,-0.735634,-0.272612,-0.2484255,1.2566715,-0.066803,0.35504,0.239235,-0.527472,-0.1391925,-0.03752015,-0.1781515,-0.0842946,-0.1816895,0.62084825,-0.175979,-0.0988411,0.0094545,0.2653656,0.2487485,-0.2487485,0.5067585,-0.5067585,-0.1569885,-0.150863,-0.1466695,-0.156773,-0.1653905,-0.1829475,-0.196504,-0.2332445,-0.2709855,-0.311608,-0.339719,-0.359993,-0.3972405,-0.444171,-0.474088,-0.5289845,-0.598787,-0.623452,-0.6242755,-3.44652
-0.4496975,-0.7833615,1.233059,-0.158518,0.01171585,0.14680215,-0.735197,-0.2625815,-0.244578,1.2423565,-0.05570455,0.346317,0.2432145,-0.53382695,-0.1309705,-0.04831845,-0.1790535,-0.09590985,-0.164618,0.6188703,-0.185631,-0.0989169,0.0184953,0.2660526,0.2553945,-0.2553945,0.5107325,-0.5107325,-0.1540765,-0.148935,-0.148231,-0.1579465,-0.1652345,-0.1853155,-0.1976105,-0.2322915,-0.2750755,-0.3096705,-0.3397825,-0.354851,-0.3946695,-0.4429275,-0.4723755,-0.525424,-0.589718,-0.6254005,-0.6163425,-3.44954
-0.4477495,-0.7877505,1.2355,-0.1553025,0.0118006,0.1435019,-0.734441,-0.2591365,-0.2458625,1.23944,-0.0673906,0.351194,0.2370485,-0.5208519,-0.1303344,-0.0508828,-0.181387,-0.0978042,-0.1693835,0.6297919,-0.1903385,-0.1020035,0.0185609,0.2737811,0.251934,-0.251934,0.502429,-0.502429,-0.1538755,-0.1490375,-0.1499245,-0.1575485,-0.1660145,-0.185757,-0.196927,-0.232495,-0.275665,-0.3076095,-0.3425715,-0.3589765,-0.3963165,-0.43765,-0.4691145,-0.525972,-0.5934965,-0.626372,-0.6242565,-3.45332
-0.433534,-0.7905605,1.2240945,-0.160143,0.01223225,0.14791075,-0.744583,-0.256966,-0.2527135,1.2542625,-0.06302565,0.352876,0.227699,-0.51754935,-0.139661,-0.04604875,-0.169196,-0.0956228,-0.16879,0.61931855,-0.181127,-0.0964051,0.0053323,0.2721998,0.2489645,-0.2489645,0.516127,-0.516127,-0.1536765,-0.1495465,-0.149169,-0.155841,-0.169394,-0.182132,-0.1969335,-0.2341375,-0.269007,-0.3122995,-0.33895,-0.3570585,-0.3942225,-0.4413255,-0.4698155,-0.5285935,-0.592803,-0.6253025,-0.621476,-3.45842
-0.440036,-0.790251,1.230287,-0.15733,0.00997115,0.14735885,-0.746642,-0.248338,-0.2504975,1.2454775,-0.05780555,0.3515135,0.2385755,-0.53228345,-0.140494,-0.0463058,-0.182227,-0.09241155,-0.160808,0.62224635,-0.190286,-0.1028075,0.017721,0.2753725,0.24305,-0.24305,0.514163,-0.514163,-0.156358,-0.147829,-0.1471435,-0.1566555,-0.167883,-0.183579,-0.198206,-0.232553,-0.2737915,-0.3108955,-0.338618,-0.3572685,-0.398594,-0.446935,-0.4694495,-0.528126,-0.590261,-0.6220955,-0.626571,-3.458095
-0.4513505,-0.7816955,1.233046,-0.15423,0.00746675,0.14676325,-0.7478385,-0.259418,-0.244576,1.2518325,-0.0670604,0.3499665,0.2328155,-0.5157216,-0.1403665,-0.03202255,-0.185429,-0.0881231,-0.171236,0.61717715,-0.1787615,-0.10174995,0.016945,0.26356645,0.2557755,-0.2557755,0.5129555,-0.5129555,-0.1563835,-0.1484415,-0.1491965,-0.1565355,-0.168547,-0.1842825,-0.199147,-0.233289,-0.274472,-0.3102835,-0.339269,-0.357216,-0.3932645,-0.442672,-0.468779,-0.526023,-0.591694,-0.623111,-0.621807,-3.44731
-0.440753,-0.788381,1.229134,-0.166364,0.01299435,0.15336965,-0.745084,-0.2683295,-0.2404215,1.253835,-0.06973535,0.3608465,0.228956,-0.52006715,-0.1301875,-0.0425611,-0.183131,-0.10354445,-0.172017,0.63144105,-0.191607,-0.09903605,0.0212381,0.26940495,0.272549,-0.272549,0.520658,-0.520658,-0.153939,-0.1483785,-0.14775,-0.1558145,-0.166874,-0.181812,-0.1988805,-0.2339925,-0.273801,-0.308901,-0.340764,-0.35744,-0.400814,-0.447468,-0.4736005,-0.532788,-0.5973585,-0.621327,-0.6186125,-3.441965
-0.4504705,-0.783787,1.2342575,-0.158233,0.01393155,0.14430145,-0.7533995,-0.249553,-0.2401,1.2430525,-0.05284775,0.356233,0.2288215,-0.53220675,-0.1230843,-0.0356426,-0.183733,-0.09850185,-0.1784815,0.61944325,-0.186803,-0.1017835,0.01335665,0.27522985,0.252967,-0.252967,0.499937,-0.499937,-0.152793,-0.1471195,-0.148766,-0.1546015,-0.168769,-0.1830485,-0.1974655,-0.234553,-0.273415,-0.306976,-0.3391895,-0.3573265,-0.397095,-0.4436755,-0.469064,-0.527407,-0.5981345,-0.619362,-0.629668,-3.452175
-0.4534365,-0.7802255,1.233662,-0.1523465,-0.0017559,0.1541024,-0.749369,-0.2586965,-0.243246,1.2513115,-0.07072955,0.347495,0.242228,-0.51899345,-0.1432305,-0.03692375,-0.181502,-0.09112385,-0.1740985,0.6268786,-0.174912,-0.104028,0.01427265,0.26466735,0.244699,-0.244699,0.511204,-0.511204,-0.153879,-0.1493765,-0.1501125,-0.1566255,-0.1648535,-0.1840635,-0.1963495,-0.2345305,-0.2697385,-0.311157,-0.3362835,-0.356918,-0.3982665,-0.4440845,-0.47472,-0.530733,-0.592524,-0.6215075,-0.62776,-3.453775
-0.4521725,-0.771694,1.2238665,-0.1610045,0.00224215,0.15876235,-0.748726,-0.252367,-0.2565425,1.2576355,-0.0661989,0.346582,0.238809,-0.5191921,-0.1237354,-0.03455505,-0.17791,-0.0948345,-0.177299,0.60833395,-0.1818215,-0.0954634,0.013673,0.2636119,0.262813,-0.262813,0.5024165,-0.5024165,-0.154395,-0.148181,-0.1482295,-0.1578275,-0.1667855,-0.1833,-0.194994,-0.230407,-0.271295,-0.311459,-0.3410395,-0.359449,-0.394872,-0.440405,-0.4718805,-0.5286345,-0.5929845,-0.615211,-0.6173545,-3.431325
-0.4531135,-0.7898725,1.242986,-0.154191,0.000724349999999999,0.15346665,-0.7509965,-0.2535745,-0.2450465,1.2496175,-0.0585061,0.3437005,0.228689,-0.5138834,-0.1382212,-0.03141105,-0.1696005,-0.09768665,-0.174543,0.6114624,-0.18363,-0.1001955,0.0119118,0.2719137,0.2665685,-0.2665685,0.5186885,-0.5186885,-0.1528315,-0.1490435,-0.1490955,-0.158046,-0.16873,-0.182864,-0.1969035,-0.233779,-0.276253,-0.3093055,-0.3407575,-0.3550955,-0.3930805,-0.4421685,-0.4653815,-0.5287575,-0.598365,-0.622484,-0.624368,-3.454135
-0.4453245,-0.7758795,1.221204,-0.15497,0.0139254,0.1410446,-0.745582,-0.251772,-0.2544285,1.2517825,-0.0653076,0.350158,0.2314815,-0.5163319,-0.132091,-0.05084765,-0.168468,-0.09908245,-0.168776,0.6192651,-0.173166,-0.1091105,0.0132934,0.2689831,0.2632735,-0.2632735,0.520988,-0.520988,-0.153715,-0.14946,-0.148707,-0.1576145,-0.1681635,-0.182897,-0.1969405,-0.2341415,-0.2785215,-0.3080015,-0.337856,-0.3567095,-0.402194,-0.436119,-0.4744345,-0.5268175,-0.5949715,-0.620846,-0.627522,-3.44123
-0.4558095,-0.770612,1.2264215,-0.156509,0.0163182,0.1401908,-0.750489,-0.2407395,-0.249528,1.2407565,-0.0563776,0.3478735,0.2291205,-0.5206164,-0.137764,-0.04378675,-0.185734,-0.08683775,-0.1740785,0.628201,-0.1809925,-0.10739195,0.0176162,0.27076825,0.2518865,-0.2518865,0.50465,-0.50465,-0.153396,-0.149339,-0.149475,-0.157388,-0.167998,-0.1830805,-0.1986725,-0.234123,-0.273181,-0.307625,-0.3377275,-0.359217,-0.396614,-0.4448135,-0.4705775,-0.5242885,-0.5914465,-0.6219,-0.623083,-3.45648
-0.44831,-0.7733385,1.2216485,-0.158009,0.0112945,0.1467145,-0.7492525,-0.247738,-0.245009,1.2419995,-0.0644126,0.34983,0.2346465,-0.5200639,-0.1210251,-0.04265755,-0.1796875,-0.1079497,-0.168021,0.61934085,-0.1896445,-0.10325065,0.02338515,0.26951,0.2517855,-0.2517855,0.510299,-0.510299,-0.1546785,-0.1486585,-0.147857,-0.1584335,-0.1667415,-0.183323,-0.196779,-0.2338825,-0.276496,-0.308901,-0.34221,-0.3563975,-0.3978655,-0.439373,-0.47323,-0.532299,-0.589267,-0.618715,-0.623933,-3.44856
-0.4531555,-0.770607,1.2237625,-0.1585805,0.000247850000000001,0.15833265,-0.7478465,-0.2556045,-0.2414865,1.2449375,-0.07077225,0.344584,0.238955,-0.51276675,-0.1435385,-0.0365005,-0.18421,-0.0980696,-0.1609915,0.6233101,-0.1932485,-0.10111405,0.018905,0.27545755,0.2638955,-0.2638955,0.5029335,-0.5029335,-0.154535,-0.149243,-0.1490095,-0.156964,-0.167681,-0.183352,-0.199164,-0.2328195,-0.2712075,-0.3083605,-0.339707,-0.3619085,-0.394817,-0.436076,-0.474775,-0.5240175,-0.588642,-0.6205195,-0.62331,-3.452545
-0.4516445,-0.777155,1.2287995,-0.1535215,0.0083786,0.1451429,-0.7461445,-0.267221,-0.2432945,1.25666,-0.0634546,0.3418875,0.2471675,-0.5256004,-0.132739,-0.03976285,-0.178277,-0.09214195,-0.1840485,0.6269693,-0.188421,-0.0946762,0.008038,0.2750592,0.2536645,-0.2536645,0.512048,-0.512048,-0.1538425,-0.14963,-0.147094,-0.156854,-0.168363,-0.1854425,-0.19506,-0.2331205,-0.2745695,-0.3071355,-0.337717,-0.361484,-0.4008405,-0.443784,-0.472936,-0.5223925,-0.602802,-0.6296885,-0.62806,-3.457355
-0.453667,-0.770056,1.223723,-0.1495985,0.0051032,0.1444953,-0.7570485,-0.24814,-0.2498455,1.255034,-0.0647449,0.3474985,0.235288,-0.5180416,-0.12291065,-0.04842635,-0.186689,-0.09242065,-0.1678195,0.61826615,-0.1833415,-0.107342,0.0256066,0.2650769,0.244571,-0.244571,0.495435,-0.495435,-0.1541205,-0.1474845,-0.148232,-0.1559215,-0.1671005,-0.184036,-0.195358,-0.2344445,-0.2725955,-0.309575,-0.340202,-0.356211,-0.396562,-0.4411765,-0.472684,-0.5274655,-0.5980975,-0.621219,-0.6265915,-3.46105
-0.4433765,-0.7838575,1.227234,-0.1688465,0.01567215,0.15317435,-0.7318555,-0.258614,-0.2557685,1.246238,-0.0549964,0.356189,0.216404,-0.5175966,-0.12854695,-0.0414246,-0.1865425,-0.0933332,-0.175672,0.62551925,-0.193592,-0.108159,0.02459285,0.27715815,0.2689875,-0.2689875,0.509372,-0.509372,-0.154561,-0.147545,-0.148558,-0.155944,-0.1668125,-0.184479,-0.1958995,-0.2328345,-0.2772615,-0.307904,-0.340269,-0.3569055,-0.3985515,-0.43859,-0.4671155,-0.522997,-0.5959775,-0.6229035,-0.6264585,-3.44781
-0.4376295,-0.7788825,1.216512,-0.172861,0.00241275,0.17044825,-0.739199,-0.266663,-0.240999,1.246861,-0.0733542,0.360799,0.241705,-0.5291498,-0.138376,-0.04430895,-0.1742875,-0.10120115,-0.1637595,0.6219331,-0.1985595,-0.08798815,0.0105718,0.27597585,0.2545585,-0.2545585,0.503693,-0.503693,-0.155474,-0.148359,-0.1476825,-0.1568665,-0.167966,-0.182011,-0.194734,-0.2330205,-0.27275,-0.309901,-0.3396065,-0.35683,-0.3972065,-0.442899,-0.470269,-0.5306385,-0.597369,-0.6199075,-0.626805,-3.46819
-0.4558755,-0.7756985,1.231574,-0.155331,0.00642145,0.14890955,-0.744532,-0.2455245,-0.258163,1.2482195,-0.0640889,0.357219,0.2374345,-0.5305646,-0.125266,-0.040001,-0.184446,-0.107612,-0.173656,0.630981,-0.2007665,-0.10050945,0.02719175,0.2740842,0.2646045,-0.2646045,0.4995605,-0.4995605,-0.152471,-0.149415,-0.146977,-0.1554375,-0.1653655,-0.1839895,-0.195947,-0.2327255,-0.273425,-0.3114675,-0.3366475,-0.3566755,-0.395597,-0.4437855,-0.473292,-0.526036,-0.595151,-0.61869,-0.61821,-3.457065
-0.4516695,-0.7834375,1.235107,-0.156555,0.0080225,0.1485325,-0.7467835,-0.257446,-0.241946,1.2461755,-0.0615607,0.3542765,0.2397435,-0.5324593,-0.1284602,-0.04869705,-0.1820085,-0.09917025,-0.1744285,0.6327645,-0.1799765,-0.09780525,0.000472350000000003,0.2773094,0.259433,-0.259433,0.5075265,-0.5075265,-0.153684,-0.1496155,-0.148226,-0.1558395,-0.168099,-0.1851475,-0.197298,-0.2347885,-0.2738785,-0.310714,-0.3388255,-0.361793,-0.3964325,-0.441063,-0.4642445,-0.529828,-0.5966175,-0.614755,-0.6250205,-3.442105
-0.4478635,-0.787019,1.2348825,-0.153606,-0.0016535,0.1552595,-0.7498935,-0.258818,-0.2384975,1.247209,-0.07053405,0.35636,0.2426755,-0.52850145,-0.1365185,-0.03881215,-0.167857,-0.09844025,-0.17343,0.6150579,-0.1904445,-0.09233415,0.0066749,0.27610375,0.2624745,-0.2624745,0.5184705,-0.5184705,-0.155322,-0.149055,-0.14938,-0.157018,-0.167924,-0.182291,-0.197539,-0.2324045,-0.276406,-0.3102515,-0.339797,-0.359722,-0.3926875,-0.4417365,-0.470207,-0.5291145,-0.591717,-0.620093,-0.6281585,-3.45815
-0.452101,-0.772343,1.224444,-0.1484715,0.000863650000000001,0.14760785,-0.7487705,-0.257378,-0.244543,1.2506915,-0.07526945,0.365114,0.2326595,-0.52250405,-0.1358265,-0.03461205,-0.1734295,-0.1072955,-0.1617995,0.61296305,-0.171005,-0.106562,0.01335635,0.26421065,0.2455285,-0.2455285,0.5282035,-0.5282035,-0.1531225,-0.1488145,-0.148118,-0.1587185,-0.1696935,-0.1829115,-0.1982405,-0.229673,-0.271782,-0.310634,-0.3365385,-0.3599515,-0.396454,-0.440275,-0.474005,-0.528199,-0.5930785,-0.6230595,-0.6267155,-3.44065
